enb_id,score,alloc,rsrq,hand_ctn
0,0.441134,0,-42.003,0
1,1.7503,0,-21.5573,0
2,0.298569,0,-46.6187,0
3,-0.75239,0,-62.707,0
4,0.593978,0,-39.8408,0
5,0.994857,0,-36.0849,0
6,-0.924404,0,-64.5344,0
7,-0.0388283,0,-50.7835,0
8,1.54014,0,-26.5392,0
9,-0.901476,0,-64.6179,0
10,-0.884368,0,-63.8738,0
11,-0.703372,0,-60.8874,0
12,-0.774391,0,-62.0592,0
13,-1.18148,0,-69.6788,0
14,-0.139989,0,-51.9994,0
15,-0.907762,0,-64.2603,0
16,-1.2166,0,-69.3557,0
17,1.39925,0,-27.2862,0
18,-0.188067,0,-52.3849,0
19,-2.53904,0,-93.2088,0
20,2.44004,1,-10.5536,0
21,-0.840663,0,-63.1527,0
22,-0.600613,0,-59.3208,0
23,0.0601781,0,-48.2888,0
24,-0.344574,0,-54.9672,0
25,0.925513,0,-35.6054,0
0,-0.403703,0,-41.969,0
1,0.87816,0,-21.5104,0
2,-0.640687,0,-46.5713,0
3,-1.61536,0,-62.6535,0
4,-0.246088,0,-39.7964,0
5,-0.00220506,0,-36.0364,0
6,-1.76867,0,-64.4909,0
7,-0.892869,0,-50.7323,0
8,0.576839,0,-26.4822,0
9,-1.73996,0,-64.5669,0
10,-1.72853,0,-63.8287,0
11,-1.54707,0,-60.8345,0
12,-1.6186,0,-62.0148,0
13,-2.03835,0,-69.6327,0
14,-0.978935,0,-51.9457,0
15,-1.75123,0,-64.2037,0
16,-2.06026,0,-69.3022,0
17,0.530837,0,-27.2412,0
18,-1.03304,0,-52.3531,0
19,-3.46385,0,-93.1534,0
20,1.54472,1,-10.5122,0
21,-1.6844,0,-63.1004,0
22,-1.44287,0,-59.2687,0
23,-0.7839,0,-48.2422,0
24,-1.18891,0,-54.9249,0
25,0.0268329,0,-35.5573,0
0,-0.550154,0,-41.8724,0
1,0.761801,0,-21.3775,0
2,-0.688156,0,-46.4374,0
3,-1.73856,0,-62.5021,0
4,-0.394741,0,-39.6712,0
5,0.00610778,0,-35.8992,0
6,-1.91356,0,-64.3685,0
7,-1.02565,0,-50.5877,0
8,0.555959,0,-26.3211,0
9,-1.88856,0,-64.4223,0
10,-1.87314,0,-63.7016,0
11,-1.69033,0,-60.6852,0
12,-1.76332,0,-61.8897,0
13,-2.16945,0,-69.5023,0
14,-1.12651,0,-51.7941,0
15,-1.89385,0,-64.0438,0
16,-2.20339,0,-69.1508,0
17,0.411124,0,-27.1144,0
18,-1.17989,0,-52.263,0
19,-3.52409,0,-92.9969,0
20,1.44608,1,-10.3953,0
21,-1.82777,0,-62.953,0
22,-1.58768,0,-59.1217,0
23,-0.928249,0,-48.111,0
24,-1.334,0,-54.8058,0
25,-0.0615346,0,-35.4214,0
0,-0.540398,0,-41.7184,0
1,0.774951,0,-21.1655,0
2,-0.673964,0,-46.2228,0
3,-1.72311,0,-62.2594,0
4,-0.382053,0,-39.4707,0
5,0.0194277,0,-35.6794,0
6,-1.90125,0,-64.1726,0
7,-1.01091,0,-50.356,0
8,0.572946,0,-26.063,0
9,-1.87398,0,-64.191,0
10,-1.86039,0,-63.4983,0
11,-1.6754,0,-60.446,0
12,-1.75075,0,-61.6893,0
13,-2.15608,0,-69.2934,0
14,-1.11123,0,-51.551,0
15,-1.87789,0,-63.7876,0
16,-2.18827,0,-68.9083,0
17,0.424172,0,-26.9118,0
18,-1.17075,0,-52.1192,0
19,-3.50778,0,-92.7461,0
20,1.45547,1,-10.2108,0
21,-1.81304,0,-62.717,0
22,-1.57293,0,-58.886,0
23,-0.915087,0,-47.9008,0
24,-1.322,0,-54.6149,0
25,-0.0474052,0,-35.2038,0
0,-0.527391,0,-41.5118,0
1,0.792546,0,-20.8805,0
2,-0.655127,0,-45.9328,0
3,-1.7024,0,-61.9311,0
4,-0.365026,0,-39.1995,0
5,0.0374473,0,-35.3821,0
6,-1.88473,0,-63.9079,0
7,-0.991149,0,-50.0423,0
8,0.595523,0,-25.714,0
9,-1.85441,0,-63.8785,0
10,-1.84326,0,-63.2237,0
11,-1.6553,0,-60.1222,0
12,-1.73385,0,-61.4183,0
13,-2.1382,0,-69.011,0
14,-1.09069,0,-51.2222,0
15,-1.8564,0,-63.4408,0
16,-2.16789,0,-68.58,0
17,0.441551,0,-26.6388,0
18,-1.15854,0,-51.9258,0
19,-3.48604,0,-92.4067,0
20,1.46847,1,-9.96689,0
21,-1.79321,0,-62.3978,0
22,-1.55308,0,-58.567,0
23,-0.897395,0,-47.6168,0
24,-1.30589,0,-54.3569,0
25,-0.0285592,0,-34.9095,0
0,-0.512456,0,-41.2733,0
1,0.812764,0,-20.5512,0
2,-0.633421,0,-45.5957,0
3,-1.67843,0,-61.5489,0
4,-0.345331,0,-38.8843,0
5,0.0584142,0,-35.0362,0
6,-1.86564,0,-63.6008,0
7,-0.968269,0,-49.6774,0
8,0.621548,0,-25.3083,0
9,-1.83178,0,-63.5154,0
10,-1.82348,0,-62.9052,0
11,-1.63198,0,-59.7456,0
12,-1.71429,0,-61.1035,0
13,-2.11751,0,-68.6825,0
14,-1.06689,0,-50.8395,0
15,-1.83146,0,-63.0373,0
16,-2.14425,0,-68.198,0
17,0.461523,0,-26.3231,0
18,-1.1445,0,-51.702,0
19,-3.46093,0,-92.0119,0
20,1.48328,1,-9.69212,0
21,-1.77026,0,-62.027,0
22,-1.53006,0,-58.1958,0
23,-0.876937,0,-47.2873,0
24,-1.28724,0,-54.0573,0
25,-0.00680845,0,-34.5674,0
0,-0.494294,0,-40.9821,0
1,0.837398,0,-20.1484,0
2,-0.606896,0,-45.1797,0
3,-1.64897,0,-61.0766,0
4,-0.321137,0,-38.4955,0
5,0.0843175,0,-34.6088,0
6,-1.8422,0,-63.2226,0
7,-0.940141,0,-49.2263,0
8,0.653377,0,-24.8076,0
9,-1.80398,0,-63.0677,0
10,-1.7992,0,-62.5132,0
11,-1.60327,0,-59.2802,0
12,-1.69024,0,-60.7152,0
13,-2.09213,0,-68.2769,0
14,-1.0376,0,-50.3668,0
15,-1.80073,0,-62.5388,0
16,-2.11513,0,-67.726,0
17,0.485863,0,-25.9358,0
