value,exe_time,ues,enbs
122.754,0.013742,200,10
122.754,0.011448,200,10
122.754,0.011215,200,10
122.754,0.01157,200,10
122.754,0.010677,200,10
122.754,0.010934,200,10
122.754,0.010941,200,10
122.754,0.011124,200,10
122.754,0.011505,200,10
122.754,0.013006,200,10
122.754,0.012107,200,10
122.754,0.012199,200,10
122.754,0.012562,200,10
122.754,0.011123,200,10
122.754,0.010647,200,10
122.754,0.01082,200,10
122.754,0.011251,200,10
122.754,0.011482,200,10
122.754,0.011014,200,10
122.754,0.011799,200,10
122.754,0.01179,200,10
122.754,0.011447,200,10
122.754,0.0113,200,10
122.754,0.012065,200,10
122.754,0.010717,200,10
122.754,0.011302,200,10
122.754,0.011652,200,10
122.754,0.011057,200,10
122.754,0.012114,200,10
122.754,0.012005,200,10
