enb_id,cost,alloc,rsrq,hand_count
0,1,0,-41.969,0
1,1,0,-21.5104,0
2,1,0,-46.5713,0
3,1,0,-62.6535,0
4,1,0,-39.7964,0
5,1,0,-36.0364,0
6,1,0,-64.4909,0
7,1,0,-50.7323,0
8,1,0,-26.4822,0
9,1,0,-64.5669,0
10,1,0,-63.8287,0
11,1,0,-60.8345,0
12,1,0,-62.0148,0
13,1,0,-69.6327,0
14,1,0,-51.9457,0
15,1,0,-64.2037,0
16,1,0,-69.3022,0
17,1,0,-27.2412,0
18,1,0,-52.3531,0
19,1,0,-93.1534,0
20,1,1,-10.5122,0
21,1,0,-63.1004,0
22,1,0,-59.2687,0
23,1,0,-48.2422,0
24,1,0,-54.9249,0
25,1,0,-35.5573,0
0,1,0,-41.8724,0
1,1,0,-21.3775,0
2,1,0,-46.4374,0
3,1,0,-62.5021,0
4,1,0,-39.6712,0
5,1,0,-35.8992,0
6,1,0,-64.3685,0
7,1,0,-50.5877,0
8,1,0,-26.3211,0
9,1,0,-64.4223,0
10,1,0,-63.7016,0
11,1,0,-60.6852,0
12,1,0,-61.8897,0
13,1,0,-69.5023,0
14,1,0,-51.7941,0
15,1,0,-64.0438,0
16,1,0,-69.1508,0
17,1,0,-27.1144,0
18,1,0,-52.263,0
19,1,0,-92.9969,0
20,1,1,-10.3953,0
21,1,0,-62.953,0
22,1,0,-59.1217,0
23,1,0,-48.111,0
24,1,0,-54.8058,0
25,1,0,-35.4214,0
0,1,0,-41.7184,0
1,1,0,-21.1655,0
2,1,0,-46.2228,0
3,1,0,-62.2594,0
4,1,0,-39.4707,0
5,1,0,-35.6794,0
6,1,0,-64.1726,0
7,1,0,-50.356,0
8,1,0,-26.063,0
9,1,0,-64.191,0
10,1,0,-63.4983,0
11,1,0,-60.446,0
12,1,0,-61.6893,0
13,1,0,-69.2934,0
14,1,0,-51.551,0
15,1,0,-63.7876,0
16,1,0,-68.9083,0
17,1,0,-26.9118,0
18,1,0,-52.1192,0
19,1,0,-92.7461,0
20,1,1,-10.2108,0
21,1,0,-62.717,0
22,1,0,-58.886,0
23,1,0,-47.9008,0
24,1,0,-54.6149,0
25,1,0,-35.2038,0
0,1,0,-41.5118,0
1,1,0,-20.8805,0
2,1,0,-45.9328,0
3,1,0,-61.9311,0
4,1,0,-39.1995,0
5,1,0,-35.3821,0
6,1,0,-63.9079,0
7,1,0,-50.0423,0
8,1,0,-25.714,0
9,1,0,-63.8785,0
10,1,0,-63.2237,0
11,1,0,-60.1222,0
12,1,0,-61.4183,0
13,1,0,-69.011,0
14,1,0,-51.2222,0
15,1,0,-63.4408,0
16,1,0,-68.58,0
17,1,0,-26.6388,0
18,1,0,-51.9258,0
19,1,0,-92.4067,0
20,1,1,-9.96689,0
21,1,0,-62.3978,0
22,1,0,-58.567,0
23,1,0,-47.6168,0
24,1,0,-54.3569,0
25,1,0,-34.9095,0
0,1,0,-41.2733,0
1,1,0,-20.5512,0
2,1,0,-45.5957,0
3,1,0,-61.5489,0
4,1,0,-38.8843,0
5,1,0,-35.0362,0
6,1,0,-63.6008,0
7,1,0,-49.6774,0
8,1,0,-25.3083,0
9,1,0,-63.5154,0
10,1,0,-62.9052,0
11,1,0,-59.7456,0
12,1,0,-61.1035,0
13,1,0,-68.6825,0
14,1,0,-50.8395,0
15,1,0,-63.0373,0
16,1,0,-68.198,0
17,1,0,-26.3231,0
18,1,0,-51.702,0
19,1,0,-92.0119,0
20,1,1,-9.69212,0
21,1,0,-62.027,0
22,1,0,-58.1958,0
23,1,0,-47.2873,0
24,1,0,-54.0573,0
25,1,0,-34.5674,0
0,1,0,-40.9821,0
1,1,0,-20.1484,0
2,1,0,-45.1797,0
3,1,0,-61.0766,0
4,1,0,-38.4955,0
5,1,0,-34.6088,0
6,1,0,-63.2226,0
7,1,0,-49.2263,0
8,1,0,-24.8076,0
9,1,0,-63.0677,0
10,1,0,-62.5132,0
11,1,0,-59.2802,0
12,1,0,-60.7152,0
13,1,0,-68.2769,0
14,1,0,-50.3668,0
15,1,0,-62.5388,0
16,1,0,-67.726,0
17,1,0,-25.9358,0
18,1,0,-51.4277,0
19,1,0,-91.524,0
20,1,1,-9.36822,0
21,1,0,-61.5696,0
22,1,0,-57.7371,0
23,1,0,-46.8812,0
24,1,0,-53.6877,0
25,1,0,-34.1452,0
0,1,0,-40.6551,0
1,1,0,-19.6958,0
2,1,0,-44.7072,0
3,1,0,-60.5395,0
4,1,0,-38.0543,0
5,1,0,-34.1228,0
6,1,0,-62.7947,0
7,1,0,-48.7135,0
8,1,0,-24.2393,0
9,1,0,-62.5595,0
10,1,0,-62.0699,0
11,1,0,-58.7513,0
12,1,0,-60.275,0
13,1,0,-67.8159,0
14,1,0,-49.8294,0
15,1,0,-61.972,0
16,1,0,-67.1893,0
17,1,0,-25.5001,0
18,1,0,-51.1183,0
19,1,0,-90.9693,0
20,1,1,-9.02394,0
21,1,0,-61.0509,0
22,1,0,-57.2155,0
23,1,0,-46.4214,0
24,1,0,-53.2688,0
25,1,0,-33.6659,0
0,1,0,-40.3265,0
1,1,0,-19.2407,0
2,1,0,-44.2257,0
3,1,0,-59.9908,0
4,1,0,-37.6044,0
5,1,0,-33.6266,0
6,1,0,-62.3592,0
7,1,0,-48.1894,0
8,1,0,-23.6596,0
9,1,0,-62.042,0
